clique,tamanho,participantes
1,31,P001;P004;P007;P013;P015;P018;P022;P025;P041;P043;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P126;P131;P133
2,31,P004;P005;P007;P013;P015;P018;P022;P025;P041;P043;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P126;P131;P133
3,30,P001;P004;P007;P013;P015;P018;P022;P025;P041;P043;P044;P048;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P111;P116;P121;P126;P131;P133
4,30,P001;P004;P007;P013;P015;P018;P022;P025;P041;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P126;P131
5,30,P001;P007;P013;P015;P022;P025;P041;P043;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P122;P126;P131;P133
6,30,P004;P005;P007;P013;P015;P018;P022;P025;P041;P043;P044;P048;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P111;P116;P121;P126;P131;P133
7,30,P004;P005;P007;P013;P015;P018;P022;P025;P041;P043;P044;P048;P056;P071;P072;P077;P081;P087;P091;P092;P094;P098;P099;P111;P116;P121;P124;P126;P131;P133
8,30,P004;P005;P007;P013;P015;P018;P022;P025;P041;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P126;P131
9,30,P004;P005;P007;P013;P015;P018;P025;P041;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P106;P111;P116;P117;P121;P126;P131
10,30,P004;P005;P007;P013;P015;P018;P025;P041;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P106;P111;P116;P117;P121;P126;P131;P133
11,30,P005;P007;P013;P015;P022;P025;P041;P043;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P122;P126;P131;P133
12,29,P001;P004;P007;P013;P015;P018;P022;P025;P035;P041;P043;P048;P056;P072;P081;P087;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P126;P131;P133
13,29,P001;P004;P007;P013;P015;P018;P022;P025;P041;P044;P048;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P121;P126;P131
14,29,P001;P004;P007;P013;P015;P022;P025;P041;P043;P048;P049;P055;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P111;P116;P117;P126;P131;P133
15,29,P001;P007;P013;P015;P022;P025;P041;P043;P044;P048;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P111;P116;P121;P122;P126;P131;P133
16,29,P001;P007;P013;P015;P022;P025;P041;P043;P048;P049;P055;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131;P133
17,29,P001;P007;P013;P015;P022;P025;P041;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P122;P126;P131
18,29,P001;P007;P013;P015;P025;P041;P043;P048;P049;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P122;P126;P131;P133
19,29,P004;P005;P007;P013;P015;P018;P022;P025;P035;P041;P043;P048;P056;P072;P081;P087;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P126;P131;P133
20,29,P004;P005;P007;P013;P015;P018;P022;P025;P041;P044;P048;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P121;P126;P131
21,29,P004;P005;P007;P013;P015;P022;P025;P041;P043;P048;P049;P055;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P111;P116;P117;P126;P131;P133
22,29,P005;P007;P013;P015;P022;P025;P041;P043;P044;P048;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P111;P116;P121;P122;P126;P131;P133
23,29,P005;P007;P013;P015;P022;P025;P041;P043;P048;P049;P055;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131;P133
24,29,P005;P007;P013;P015;P022;P025;P041;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P122;P126;P131
25,29,P005;P007;P013;P015;P025;P041;P043;P048;P049;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P122;P126;P131;P133
26,28,P001;P004;P007;P013;P015;P018;P022;P025;P035;P041;P048;P056;P072;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P126;P131
27,28,P001;P004;P007;P013;P015;P022;P025;P041;P048;P049;P055;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P103;P111;P116;P117;P126;P131
28,28,P001;P007;P013;P015;P022;P025;P041;P044;P048;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P121;P122;P126;P131
29,28,P001;P007;P013;P015;P022;P025;P041;P048;P049;P055;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P103;P111;P116;P117;P122;P126;P131
30,28,P001;P007;P013;P015;P022;P025;P043;P044;P048;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P104;P111;P116;P121;P122;P126;P131;P133
31,28,P001;P007;P013;P015;P022;P025;P043;P048;P049;P055;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P104;P111;P116;P122;P126;P131;P133
32,28,P001;P007;P013;P015;P022;P025;P043;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P104;P111;P116;P121;P122;P126;P131;P133
33,28,P001;P007;P013;P015;P025;P041;P043;P044;P048;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P098;P099;P111;P116;P121;P122;P126;P131;P133
34,28,P001;P007;P013;P015;P025;P041;P043;P048;P049;P055;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131;P133
35,28,P001;P007;P013;P015;P025;P041;P048;P049;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P122;P126;P131
36,28,P004;P005;P007;P013;P015;P018;P022;P025;P035;P041;P048;P056;P072;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P126;P131
37,28,P004;P005;P007;P013;P015;P018;P025;P041;P048;P049;P059;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P106;P111;P116;P117;P126;P131
38,28,P004;P005;P007;P013;P015;P018;P025;P041;P048;P056;P066;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P106;P111;P116;P117;P126;P131
39,28,P004;P005;P007;P013;P015;P018;P025;P041;P048;P059;P066;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P106;P111;P116;P117;P126;P131
40,28,P004;P005;P007;P013;P015;P022;P025;P041;P048;P049;P055;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P103;P111;P116;P117;P126;P131
41,28,P005;P007;P013;P015;P022;P025;P041;P044;P048;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P121;P122;P126;P131
42,28,P005;P007;P013;P015;P022;P025;P041;P048;P049;P055;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P103;P111;P116;P117;P122;P126;P131
43,28,P005;P007;P013;P015;P022;P025;P043;P044;P048;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P104;P111;P116;P121;P122;P126;P131;P133
44,28,P005;P007;P013;P015;P022;P025;P043;P048;P049;P055;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P104;P111;P116;P122;P126;P131;P133
45,28,P005;P007;P013;P015;P022;P025;P043;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P104;P111;P116;P121;P122;P126;P131;P133
46,28,P005;P007;P013;P015;P025;P041;P043;P044;P048;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P098;P099;P111;P116;P121;P122;P126;P131;P133
47,28,P005;P007;P013;P015;P025;P041;P043;P048;P049;P055;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131;P133
48,28,P005;P007;P013;P015;P025;P041;P048;P049;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P122;P126;P131
49,27,P001;P004;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P103;P111;P116;P121;P126;P131
50,27,P001;P004;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P111;P116;P121;P126;P131;P133
51,27,P001;P004;P007;P013;P015;P018;P025;P041;P048;P049;P059;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P126;P131
52,27,P001;P004;P007;P013;P015;P018;P025;P041;P048;P056;P066;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P126;P131
53,27,P001;P004;P007;P013;P015;P018;P025;P041;P048;P059;P066;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P126;P131
54,27,P001;P004;P007;P013;P015;P022;P036;P041;P043;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P098;P099;P111;P121;P126;P131;P133
55,27,P001;P007;P013;P015;P018;P025;P041;P043;P044;P048;P053;P056;P071;P072;P077;P081;P088;P091;P092;P094;P098;P099;P111;P116;P121;P126;P131
56,27,P001;P007;P013;P015;P018;P025;P041;P043;P048;P053;P056;P071;P072;P077;P081;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P126;P131
57,27,P001;P007;P013;P015;P018;P025;P041;P044;P048;P053;P056;P071;P072;P077;P081;P088;P091;P092;P094;P098;P099;P103;P111;P116;P121;P126;P131
58,27,P001;P007;P013;P015;P018;P025;P041;P048;P053;P056;P071;P072;P077;P081;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P126;P131
59,27,P001;P007;P013;P015;P022;P036;P041;P043;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P098;P099;P111;P121;P122;P126;P131;P133
60,27,P001;P007;P013;P015;P025;P041;P043;P044;P048;P053;P056;P071;P072;P077;P080;P088;P091;P092;P094;P098;P099;P111;P116;P121;P122;P126;P131
61,27,P001;P007;P013;P015;P025;P041;P043;P044;P048;P053;P056;P071;P072;P077;P081;P088;P091;P092;P094;P098;P099;P111;P116;P121;P122;P126;P131
62,27,P001;P007;P013;P015;P025;P041;P043;P048;P053;P056;P071;P072;P077;P080;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P122;P126;P131
63,27,P001;P007;P013;P015;P025;P041;P043;P048;P053;P056;P071;P072;P077;P081;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P122;P126;P131
64,27,P001;P007;P013;P015;P025;P041;P044;P048;P053;P056;P071;P072;P077;P080;P088;P091;P092;P094;P098;P099;P103;P111;P116;P121;P122;P126;P131
65,27,P001;P007;P013;P015;P025;P041;P044;P048;P053;P056;P071;P072;P077;P081;P088;P091;P092;P094;P098;P099;P103;P111;P116;P121;P122;P126;P131
66,27,P001;P007;P013;P015;P025;P041;P044;P048;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P121;P122;P126;P131
67,27,P001;P007;P013;P015;P025;P041;P048;P049;P055;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P099;P103;P111;P116;P117;P122;P126;P131
68,27,P001;P007;P013;P015;P025;P041;P048;P053;P056;P071;P072;P077;P080;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P122;P126;P131
69,27,P001;P007;P013;P015;P025;P041;P048;P053;P056;P071;P072;P077;P081;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P122;P126;P131
70,27,P002;P004;P005;P007;P013;P015;P018;P041;P048;P056;P066;P072;P077;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P117;P126;P131
71,27,P002;P004;P005;P007;P013;P015;P018;P041;P048;P056;P071;P072;P077;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P117;P126;P131
72,27,P002;P004;P005;P007;P013;P015;P018;P041;P048;P059;P066;P072;P077;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P117;P126;P131
73,27,P004;P005;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P103;P111;P116;P121;P126;P131
74,27,P004;P005;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P111;P116;P121;P126;P131;P133
75,27,P004;P005;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P087;P092;P094;P098;P099;P111;P116;P121;P124;P126;P131;P133
76,27,P004;P005;P007;P013;P015;P018;P022;P041;P043;P044;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P111;P116;P121;P124;P126;P131
77,27,P004;P005;P007;P013;P015;P022;P036;P041;P043;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P098;P099;P111;P121;P126;P131;P133
78,27,P005;P007;P013;P015;P022;P025;P043;P044;P048;P056;P071;P072;P077;P081;P087;P091;P092;P094;P099;P104;P111;P116;P121;P124;P126;P131;P133
79,27,P005;P007;P013;P015;P022;P036;P041;P043;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P098;P099;P111;P121;P122;P126;P131;P133
80,27,P005;P007;P013;P015;P025;P041;P043;P044;P048;P056;P071;P072;P077;P080;P087;P091;P092;P094;P098;P099;P111;P116;P121;P124;P126;P131;P133
81,27,P005;P007;P013;P015;P025;P041;P044;P048;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P121;P122;P126;P131
82,27,P005;P007;P013;P015;P025;P041;P048;P049;P055;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P099;P103;P111;P116;P117;P122;P126;P131
83,26,P001;P004;P007;P013;P015;P018;P022;P025;P030;P048;P049;P056;P072;P077;P081;P088;P092;P094;P098;P099;P103;P111;P116;P117;P126;P131
84,26,P001;P004;P007;P013;P015;P018;P022;P025;P030;P048;P049;P056;P072;P077;P081;P088;P092;P094;P098;P099;P111;P116;P117;P126;P131;P133
85,26,P001;P004;P007;P013;P015;P018;P022;P035;P037;P041;P048;P056;P072;P081;P087;P088;P092;P094;P098;P099;P103;P111;P116;P121;P126;P131
86,26,P001;P004;P007;P013;P015;P018;P022;P035;P037;P041;P048;P056;P072;P081;P087;P088;P092;P094;P098;P099;P111;P116;P121;P126;P131;P133
87,26,P001;P004;P007;P013;P015;P018;P022;P035;P041;P043;P048;P056;P072;P081;P082;P087;P091;P092;P094;P098;P111;P116;P117;P121;P126;P131
88,26,P001;P004;P007;P013;P015;P018;P022;P035;P041;P048;P056;P072;P081;P082;P087;P091;P092;P094;P098;P103;P111;P116;P117;P121;P126;P131
89,26,P001;P004;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P082;P087;P092;P094;P098;P103;P111;P116;P121;P126;P131
90,26,P001;P004;P007;P013;P015;P018;P022;P041;P043;P044;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P111;P116;P121;P126;P131
91,26,P001;P004;P007;P013;P015;P018;P022;P041;P043;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P111;P116;P117;P121;P126;P131
92,26,P001;P004;P007;P013;P015;P018;P022;P041;P044;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P103;P111;P116;P121;P126;P131
93,26,P001;P004;P007;P013;P015;P018;P022;P041;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P103;P111;P116;P117;P121;P126;P131
94,26,P001;P004;P007;P013;P015;P022;P035;P036;P041;P043;P048;P056;P072;P081;P087;P088;P091;P092;P094;P098;P099;P111;P121;P126;P131;P133
95,26,P001;P004;P007;P013;P015;P022;P036;P037;P041;P044;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P103;P111;P121;P126;P131
96,26,P001;P004;P007;P013;P015;P022;P036;P037;P041;P044;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P111;P121;P126;P131;P133
97,26,P001;P004;P007;P013;P015;P022;P036;P041;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P121;P126;P131
98,26,P001;P007;P008;P013;P015;P022;P025;P041;P043;P048;P056;P071;P072;P077;P087;P091;P092;P098;P111;P116;P117;P121;P122;P126;P131;P133
99,26,P001;P007;P008;P013;P015;P025;P041;P043;P048;P056;P071;P072;P077;P080;P087;P091;P092;P098;P111;P116;P117;P121;P122;P126;P131;P133
100,26,P001;P007;P013;P015;P018;P025;P035;P041;P043;P048;P053;P056;P072;P081;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P126;P131
101,26,P001;P007;P013;P015;P018;P025;P035;P041;P048;P053;P056;P072;P081;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P126;P131
102,26,P001;P007;P013;P015;P022;P036;P041;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P121;P122;P126;P131
103,26,P001;P007;P013;P015;P022;P036;P043;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P099;P104;P111;P121;P122;P126;P131;P133
104,26,P001;P007;P013;P015;P025;P041;P043;P048;P053;P055;P056;P071;P072;P077;P080;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131
105,26,P001;P007;P013;P015;P025;P041;P043;P048;P053;P055;P056;P071;P072;P077;P081;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131
106,26,P001;P007;P013;P015;P025;P041;P043;P049;P055;P056;P062;P071;P080;P087;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131;P133
107,26,P001;P007;P013;P015;P025;P041;P043;P049;P055;P056;P062;P071;P081;P087;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131;P133
108,26,P001;P007;P013;P015;P025;P041;P043;P049;P056;P062;P071;P080;P087;P088;P091;P092;P094;P099;P111;P116;P117;P121;P122;P126;P131;P133
109,26,P001;P007;P013;P015;P025;P041;P043;P049;P056;P062;P071;P081;P087;P088;P091;P092;P094;P099;P111;P116;P117;P121;P122;P126;P131;P133
110,26,P001;P007;P013;P015;P025;P041;P048;P053;P055;P056;P071;P072;P077;P080;P088;P091;P092;P094;P099;P103;P111;P116;P117;P122;P126;P131
111,26,P001;P007;P013;P015;P025;P041;P048;P053;P055;P056;P071;P072;P077;P081;P088;P091;P092;P094;P099;P103;P111;P116;P117;P122;P126;P131
112,26,P002;P004;P005;P007;P013;P015;P018;P037;P041;P048;P056;P066;P072;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P126;P131
113,26,P002;P004;P005;P007;P013;P015;P018;P037;P041;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P126;P131
114,26,P004;P005;P007;P013;P015;P018;P022;P025;P030;P048;P049;P056;P072;P077;P081;P088;P092;P094;P098;P099;P103;P111;P116;P117;P126;P131
115,26,P004;P005;P007;P013;P015;P018;P022;P025;P030;P048;P049;P056;P072;P077;P081;P088;P092;P094;P098;P099;P111;P116;P117;P126;P131;P133
116,26,P004;P005;P007;P013;P015;P018;P022;P035;P037;P041;P048;P056;P072;P081;P087;P088;P092;P094;P098;P099;P103;P111;P116;P121;P126;P131
117,26,P004;P005;P007;P013;P015;P018;P022;P035;P037;P041;P048;P056;P072;P081;P087;P088;P092;P094;P098;P099;P111;P116;P121;P126;P131;P133
118,26,P004;P005;P007;P013;P015;P018;P022;P035;P041;P043;P048;P056;P072;P081;P082;P087;P091;P092;P094;P098;P111;P116;P117;P121;P126;P131
119,26,P004;P005;P007;P013;P015;P018;P022;P035;P041;P048;P056;P072;P081;P082;P087;P091;P092;P094;P098;P103;P111;P116;P117;P121;P126;P131
120,26,P004;P005;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P082;P087;P092;P094;P098;P103;P111;P116;P121;P126;P131
121,26,P004;P005;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P082;P087;P092;P094;P098;P111;P116;P121;P124;P126;P131
122,26,P004;P005;P007;P013;P015;P018;P022;P041;P043;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P111;P116;P117;P121;P126;P131
123,26,P004;P005;P007;P013;P015;P018;P022;P041;P044;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P103;P111;P116;P121;P126;P131
124,26,P004;P005;P007;P013;P015;P018;P022;P041;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P103;P111;P116;P117;P121;P126;P131
125,26,P004;P005;P007;P013;P015;P018;P037;P041;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P121;P126;P131
