participante_id,comunidade,pagerank,betweenness,grau_intercomunidades,forca_intercomunidades
P015,1,0.024065221383973,0.0735607675906183,43,15.637306072760502
P099,1,0.021527545188688,0.0565780121946657,40,13.901235403366902
P092,1,0.0219006780740052,0.0448836643848427,43,14.22020839244276
P126,1,0.0219826378891422,0.0421763363632963,39,14.333429895471006
P007,1,0.019868182987953,0.0243285452437062,42,13.895208225664586
P013,3,0.0205559247106176,0.0233980473571989,68,25.173722845474988
P081,1,0.0201484026764207,0.0190775446077881,36,12.209129399949742
P094,1,0.0200227966178056,0.0177121909250738,39,13.888320227885803
P116,1,0.0203613056616864,0.016496465043205,41,14.173154664343434
P018,1,0.0176084277823466,0.0135787229267197,29,9.84081651520855
P111,2,0.0199858777839339,0.0134103916507687,36,13.023457078001831
P005,2,0.0167763866512989,0.0132420603748176,25,8.973945957535852
P093,1,0.0051987448691063,0.0120076310178431,4,1.01015839635291
P078,1,0.0070157484870291,0.0120076310178431,3,0.685663241680568
P117,1,0.0175370005843476,0.0107872292671978,33,10.554593845197612
P103,1,0.0160138981157994,0.0105861669098118,30,9.604694476476483
P086,1,0.0098111625757148,0.0105113530093891,20,4.4313866191117475
P049,2,0.0119700843225781,0.0100998765570643,20,5.93102752872109
P004,1,0.0174641094896077,0.0099315452811132,30,8.917941852931069
P131,2,0.0176574204342669,0.0063545056671529,29,11.513939822839651
P001,1,0.0157633865206174,0.005517525156174,38,11.099280164368473
P041,2,0.0142679758981717,0.0053678973553286,20,7.435586173125991
P072,2,0.0176991703554519,0.0049938278532151,27,9.829184374707493
P077,2,0.0138983412362412,0.004769386151947,26,8.213904218642373
P025,2,0.0153668976706333,0.0044327236000448,27,9.528983304575542
P098,1,0.0165205619592853,0.0041521714734597,32,10.49925288963407
P087,2,0.0167676154739901,0.0038295365278868,27,10.390740002274876
P088,2,0.0155749095043544,0.003530280926196,25,8.531371698835365
P071,2,0.015286254615344,0.0035162533198668,20,7.2094668549547425
P056,2,0.0148527558272827,0.0026184865147944,23,7.892402505182012
P135,2,0.0044207779389069,0.0017955336101447,4,0.8800145164183604
P055,2,0.009779217604775,0.0017394231848277,14,3.8328428939964025
P091,2,0.0139965472278449,0.0015710919088766,20,7.126952678854372
P133,2,0.013080262317493,0.0015710919088766,18,5.858855871939266
P106,1,0.0120869689026005,0.0013466502076085,22,7.497425921178932
P122,2,0.0110466491749722,0.0013045673886208,16,4.393835529269854
P043,2,0.0122099034141133,0.0012110500130924,19,5.586313405367319
P048,2,0.0138713857475172,0.0011222085063404,22,7.442637706890145
P109,1,0.0042831750931598,0.0010099876557064,8,1.7227104182034432
P002,1,0.0099510338272577,0.0008977668050723,16,4.244831203841976
P053,2,0.0088382583445921,0.0007855459544383,16,4.315454729528829
P037,2,0.0098870595024895,0.0006733251038042,20,5.60825746282351
P121,2,0.0124608991042361,0.0006733251038042,16,5.661523512912055
P009,1,0.006502129212397,0.0005611042531702,2,0.5228652220774924
P134,1,0.005931310860789,0.0005611042531702,1,0.2638224265055431
P040,2,0.00522363569895,0.0005236973029588,5,1.1539827279312442
P008,2,0.0077844024721161,0.0004488834025361,13,3.1706497945715655
P054,1,0.0073161340580209,0.0003927729772191,5,1.1892896586296224
P022,2,0.0117266958509189,0.0003366625519021,19,6.078388431742656
P066,1,0.009949460178996,0.000224441701268,19,5.851580044986105
P060,2,0.0081618781162415,0.000224441701268,15,4.356248877782262
P047,2,0.0054016624912099,0.000224441701268,5,1.2239835184385004
P080,2,0.0095000461425649,0.0001309243257397,13,3.499992472299057
P100,2,0.0055406719511785,0.0001309243257397,7,1.507870764496826
P058,2,0.0062729799756191,0.000112220850634,11,2.6353768298879303
P067,3,0.0023276649106452,0.000112220850634,3,0.6308438912690804
P123,1,0.006094797377278,0.000112220850634,2,0.5103022493867522
P104,2,0.0098537290379536,5.611042531702391e-05,15,4.2266697012045755
P082,2,0.0083872062057231,0.0,16,4.529935368787634
P035,2,0.0078562356420514,0.0,15,3.809722052948433
P044,2,0.0099640836197335,0.0,14,4.307828061511557
P059,1,0.0097285622765846,0.0,14,4.062746267645693
P036,2,0.0080953898640713,0.0,14,3.8353040517163617
P124,2,0.0079954704888226,0.0,13,3.6266653101515267
P030,1,0.006796704142227,0.0,13,2.940905334502026
P062,2,0.0064775994874144,0.0,12,2.6618534924280697
P045,3,0.0038963838570963,0.0,11,2.5387620014487373
P024,3,0.0038421851838477,0.0,11,2.4310569468418213
P079,2,0.0047517195253885,0.0,10,2.5168476128913335
P020,2,0.006078913143954,0.0,10,2.439056275474839
P064,2,0.0066135770689382,0.0,10,2.43457994966505
P031,1,0.0049787730941111,0.0,10,2.3003522806001233
P108,3,0.003609116311057,0.0,10,2.1694875285107393
P132,2,0.005090860627923,0.0,9,2.426207329882539
P052,1,0.0053391012564476,0.0,9,2.186026329659174
P115,3,0.0039730861157232,0.0,9,2.148771065703145
P046,1,0.0055594605603361,0.0,7,1.7126650495423532
P085,1,0.0030765846996481,0.0,6,1.260809388821449
P028,2,0.0038878884191177,0.0,6,1.2309149097933274
P128,2,0.0034128510964707,0.0,5,1.1232098551864111
P102,2,0.0032716796201398,0.0,5,1.083460239364135
P070,1,0.0045782933382905,0.0,5,1.0616641096967447
P114,3,0.0024324354364341,0.0,5,1.0308912369519116
P119,2,0.0030859173497466,0.0,4,0.8924133096001623
P051,1,0.0041093113774746,0.0,3,0.8540684995326424
P113,1,0.0030313416267456,0.0,3,0.692803071461958
P029,2,0.0025369811593557,0.0,2,0.5494326016101712
P038,3,0.0017964627807971,0.0,2,0.4458042667395425
P101,1,0.0048483927440495,0.0,2,0.4308202184276646
P021,1,0.0031837196299101,0.0,2,0.4308202184276646
P032,2,0.0026883773152503,0.0,2,0.415433782055248
P027,1,0.0024276963058331,0.0,2,0.415433782055248
P096,1,0.0040523728954284,0.0,2,0.4000473456828314
P105,1,0.0058842717044408,0.0,1,0.2638224265055431
P039,1,0.0022490752736655,0.0,1,0.2447967036877001
P016,2,0.0017908452781942,0.0,1,0.2307965455862488
P084,1,0.0049966379528699,0.0,1,0.2230369966932378
P003,1,0.0048604975105452,0.0,1,0.2154101092138323
P097,2,0.0026958938091866,0.0,1,0.2154101092138323
